id,year,round,date,day,hometeam,awayteam,venue,timeslot,homegoals,homebehinds,hometotal,awaygoals,awaybehinds,awaytotal
9015,2024,GF,2024-09-21 17:15:00,Saturday,Sydney,Brisbane Lions,M.C.G.,D,9,6,60,18,12,120
9014,2024,PF,2024-09-21 17:15:00,Saturday,Geelong,Brisbane Lions,M.C.G.,T,12,13,85,14,11,95
9013,2024,PF,2024-09-20 19:40:00,Friday,Sydney,Port Adelaide,S.C.G.,N,14,11,95,8,11,59
9012,2024,SF,2024-09-14 19:30:00,Saturday,Greater Western Sydney,Brisbane Lions,Sydney Showground,N,15,10,100,15,15,105
9011,2024,SF,2024-09-13 19:40:00,Friday,Port Adelaide,Hawthorn,Adelaide Oval,N,11,9,75,11,6,72
9010,2024,EF,2024-09-07 19:30:00,Saturday,Brisbane Lions,Carlton,Gabba,N,14,15,99,11,5,71
9009,2024,QF,2024-09-07 15:20:00,Saturday,Sydney,Greater Western Sydney,S.C.G.,D,13,10,88,12,10,82
9008,2024,EF,2024-09-06 19:40:00,Friday,Western Bulldogs,Hawthorn,M.C.G.,N,9,8,62,14,15,99
9007,2024,QF,2024-09-05 19:40:00,Thursday,Port Adelaide,Geelong,Adelaide Oval,N,7,12,54,20,18,138
9006,2024,24,2024-08-25 18:10:00,Sunday,Fremantle,Port Adelaide,Perth Stadium,T,9,13,67,13,9,87
9005,2024,24,2024-08-25 12:30:00,Sunday,Western Bulldogs,Greater Western Sydney,Eureka Stadium,D,14,14,98,9,7,61
9004,2024,24,2024-08-24 19:40:00,Saturday,Sydney,Adelaide,S.C.G.,N,18,13,121,13,12,90
9003,2024,24,2024-08-24 15:20:00,Sunday,Richmond,Gold Coast,M.C.G.,D,10,6,66,14,10,94
9002,2024,24,2024-08-23 19:40:00,Friday,Melbourne,Collingwood,M.C.G.,N,8,9,57,15,13,103
9001,2024,24,2024-08-24 12:30:00,Saturday,Hawthorn,North Melbourne,York Park,D,26,14,170,7,4,46
9000,2024,24,2024-08-24 13:45:00,Saturday,Geelong,West Coast,Kardinia Park,D,26,12,168,11,9,75
8999,2024,24,2024-08-25 15:20:00,Sunday,Carlton,St Kilda,Docklands,D,11,8,74,11,10,76
8998,2024,24,2024-08-24 19:30:00,Saturday,Brisbane Lions,Essendon,Gabba,N,11,21,87,10,7,67
8997,2024,23,2024-08-18 16:40:00,Sunday,West Coast,Carlton,Perth Stadium,T,4,10,34,14,15,99
8996,2024,23,2024-08-17 19:30:00,Saturday,Port Adelaide,Adelaide,Adelaide Oval,N,11,14,80,8,10,58
8995,2024,23,2024-08-18 13:10:00,Sunday,Western Bulldogs,North Melbourne,Docklands,D,20,18,138,6,6,42
8994,2024,23,2024-08-17 19:30:00,Saturday,St Kilda,Geelong,Docklands,N,16,11,107,14,5,89
8993,2024,23,2024-08-18 15:20:00,Sunday,Hawthorn,Richmond,M.C.G.,D,19,17,131,10,8,68
8992,2024,23,2024-08-17 13:45:00,Saturday,Greater Western Sydney,Fremantle,Sydney Showground,D,15,11,101,14,8,92
8991,2024,23,2024-08-17 13:45:00,Saturday,Gold Coast,Melbourne,Carrara,D,9,9,63,18,9,117
8990,2024,23,2024-08-16 19:40:00,Friday,Essendon,Sydney,Docklands,N,8,11,59,15,8,98
8989,2024,23,2024-08-17 16:35:00,Saturday,Collingwood,Brisbane Lions,M.C.G.,T,11,13,79,11,12,78
8988,2024,22,2024-08-10 16:35:00,Saturday,Fremantle,Geelong,Perth Stadium,D,9,8,62,10,13,73
8987,2024,22,2024-08-11 16:10:00,Sunday,Adelaide,Western Bulldogs,Adelaide Oval,T,17,9,111,9,18,72
8986,2024,22,2024-08-09 19:40:00,Friday,Sydney,Collingwood,S.C.G.,N,13,11,89,12,14,86
8985,2024,22,2024-08-11 15:30:00,Sunday,Richmond,St Kilda,Docklands,D,7,9,51,15,9,99
8984,2024,22,2024-08-10 13:45:00,Saturday,North Melbourne,West Coast,Bellerive Oval,D,14,13,97,15,12,102
8983,2024,22,2024-08-10 19:30:00,Saturday,Melbourne,Port Adelaide,M.C.G.,N,7,9,51,7,11,53
8982,2024,22,2024-08-10 19:30:00,Saturday,Essendon,Gold Coast,Docklands,N,12,14,86,13,9,87
8981,2024,22,2024-08-11 13:10:00,Sunday,Carlton,Hawthorn,M.C.G.,D,5,8,38,16,16,112
8980,2024,22,2024-08-10 13:45:00,Saturday,Brisbane Lions,Greater Western Sydney,Gabba,D,8,16,64,13,4,82
8979,2024,21,2024-08-02 20:30:00,Friday,West Coast,Gold Coast,Perth Stadium,N,15,7,97,13,9,87
8978,2024,21,2024-08-03 19:30:00,Saturday,Port Adelaide,Sydney,Adelaide Oval,N,22,16,148,5,6,36
8977,2024,21,2024-08-02 19:15:00,Friday,Western Bulldogs,Melbourne,Docklands,N,15,20,110,9,5,59
8976,2024,21,2024-08-04 16:40:00,Sunday,St Kilda,Brisbane Lions,Docklands,T,5,9,39,19,10,124
8975,2024,21,2024-08-03 13:45:00,Saturday,North Melbourne,Richmond,Docklands,D,14,6,90,10,17,77
8974,2024,21,2024-08-04 13:10:00,Sunday,Greater Western Sydney,Hawthorn,Manuka Oval,D,12,12,84,12,10,82
8973,2024,21,2024-08-03 16:35:00,Saturday,Geelong,Adelaide,Kardinia Park,T,13,12,90,13,7,85
8972,2024,21,2024-08-04 15:20:00,Sunday,Essendon,Fremantle,M.C.G.,D,13,12,90,14,5,89
8971,2024,21,2024-08-03 19:30:00,Saturday,Collingwood,Carlton,M.C.G.,N,12,12,84,11,15,81
8970,2024,20,2024-07-27 20:10:00,Saturday,Fremantle,West Coast,Perth Stadium,N,17,8,110,11,9,75
8969,2024,20,2024-07-28 16:10:00,Sunday,Adelaide,Hawthorn,Adelaide Oval,T,8,10,58,19,10,124
8968,2024,20,2024-07-28 15:20:00,Sunday,Sydney,Western Bulldogs,S.C.G.,D,7,6,48,12,15,87
8967,2024,20,2024-07-27 16:35:00,Saturday,St Kilda,Essendon,Docklands,T,16,6,108,8,7,55
8966,2024,20,2024-07-27 13:45:00,Saturday,North Melbourne,Geelong,Bellerive Oval,D,10,6,66,16,10,106
8965,2024,20,2024-07-27 19:30:00,Saturday,Melbourne,Greater Western Sydney,M.C.G.,N,12,11,83,13,7,85
8964,2024,20,2024-07-27 16:35:00,Saturday,Gold Coast,Brisbane Lions,Carrara,T,9,11,65,13,15,93
8963,2024,20,2024-07-28 13:10:00,Sunday,Collingwood,Richmond,M.C.G.,D,14,9,93,9,13,67
8962,2024,20,2024-07-26 19:40:00,Friday,Carlton,Port Adelaide,Docklands,N,9,11,65,11,13,79
8961,2024,19,2024-07-21 15:20:00,Sunday,Fremantle,Melbourne,Perth Stadium,D,17,14,116,10,6,66
8960,2024,19,2024-07-20 19:30:00,Saturday,Port Adelaide,Richmond,Adelaide Oval,N,16,20,116,11,9,75
8959,2024,19,2024-07-20 13:45:00,Saturday,St Kilda,West Coast,Docklands,D,17,11,113,6,5,41
8958,2024,19,2024-07-20 16:35:00,Saturday,Hawthorn,Collingwood,M.C.G.,T,20,13,133,9,13,67
8957,2024,19,2024-07-20 13:45:00,Saturday,Greater Western Sydney,Gold Coast,Sydney Showground,D,14,5,89,6,14,50
8956,2024,19,2024-07-20 19:30:00,Saturday,Geelong,Western Bulldogs,Kardinia Park,N,7,6,48,13,17,95
8955,2024,19,2024-07-20 19:40:00,Friday,Essendon,Adelaide,Docklands,N,17,11,113,17,13,115
8954,2024,19,2024-07-21 16:40:00,Sunday,Carlton,North Melbourne,Docklands,T,16,11,107,14,4,88
8953,2024,19,2024-07-21 13:10:00,Sunday,Brisbane Lions,Sydney,Gabba,D,11,13,79,11,11,77
8952,2024,18,2024-07-14 16:40:00,Sunday,West Coast,Brisbane Lions,Perth Stadium,D,14,9,93,16,10,106
8951,2024,18,2024-07-13 19:30:00,Saturday,Adelaide,St Kilda,Adelaide Oval,N,10,11,71,5,9,39
8950,2024,18,2024-07-13 16:35:00,Saturday,Western Bulldogs,Carlton,Docklands,T,14,16,100,12,14,86
8949,2024,18,2024-07-13 13:45:00,Saturday,Sydney,North Melbourne,S.C.G.,D,20,18,138,9,5,59
8948,2024,18,2024-07-14 15:20:00,Sunday,Richmond,Greater Western Sydney,M.C.G.,D,12,12,84,17,6,108
8947,2024,18,2024-07-13 19:30:00,Saturday,Melbourne,Essendon,M.C.G.,N,13,6,84,10,7,67
8946,2024,18,2024-07-13 13:45:00,Saturday,Hawthorn,Fremantle,York Park,D,13,9,87,10,14,74
8945,2024,18,2024-07-14 13:10:00,Sunday,Gold Coast,Port Adelaide,Carrara,D,14,12,96,12,10,82
8944,2024,18,2024-07-12 19:40:00,Friday,Collingwood,Geelong,M.C.G.,N,10,11,71,13,13,91
8943,2024,17,2024-07-06 20:10:00,Saturday,Fremantle,Richmond,Perth Stadium,N,16,9,105,7,12,54
8942,2024,17,2024-07-06 13:45:00,Saturday,Port Adelaide,Western Bulldogs,Adelaide Oval,D,15,12,102,8,6,54
8941,2024,17,2024-07-07 15:20:00,Sunday,St Kilda,Sydney,Docklands,D,13,6,84,11,16,82
8940,2024,17,2024-07-06 13:45:00,Saturday,North Melbourne,Gold Coast,Docklands,D,13,9,87,12,11,83
8939,2024,17,2024-07-07 13:10:00,Sunday,Melbourne,West Coast,M.C.G.,D,17,10,112,8,10,58
8938,2024,17,2024-07-06 19:30:00,Saturday,Greater Western Sydney,Carlton,Sydney Showground,N,18,8,116,16,8,104
8937,2024,17,2024-07-06 16:35:00,Saturday,Geelong,Hawthorn,Kardinia Park,T,16,14,110,9,5,59
8936,2024,17,2024-07-05 19:40:00,Friday,Collingwood,Essendon,M.C.G.,N,12,8,80,13,14,92
8935,2024,17,2024-07-07 16:10:00,Sunday,Brisbane Lions,Adelaide,Gabba,T,14,13,97,13,8,86
8934,2024,16,2024-06-30 16:40:00,Sunday,West Coast,Hawthorn,Perth Stadium,T,4,9,33,14,10,94
8933,2024,16,2024-06-29 19:30:00,Saturday,Adelaide,Greater Western Sydney,Adelaide Oval,N,13,16,94,12,6,78
8932,2024,16,2024-06-29 13:45:00,Saturday,Sydney,Fremantle,S.C.G.,D,14,14,98,15,9,99
8931,2024,16,2024-06-30 13:10:00,Sunday,St Kilda,Port Adelaide,Docklands,D,8,12,60,8,14,62
8930,2024,16,2024-06-30 15:20:00,Sunday,Richmond,Carlton,M.C.G.,D,10,10,70,20,11,131
8929,2024,16,2024-06-29 13:45:00,Saturday,North Melbourne,Western Bulldogs,Docklands,D,9,6,60,11,11,77
8928,2024,16,2024-06-29 16:35:00,Saturday,Gold Coast,Collingwood,Carrara,T,14,17,101,13,12,90
8927,2024,16,2024-06-29 19:30:00,Saturday,Geelong,Essendon,M.C.G.,N,16,9,105,9,6,60
8926,2024,16,2024-06-28 19:40:00,Friday,Brisbane Lions,Melbourne,Gabba,N,11,20,86,11,15,81
8925,2024,15,2024-06-23 16:00:00,Sunday,Fremantle,Gold Coast,Perth Stadium,T,12,13,85,10,5,62
8924,2024,15,2024-06-23 13:00:00,Sunday,Essendon,West Coast,Docklands,D,19,8,122,13,14,92
8923,2024,15,2024-06-22 19:30:00,Saturday,Melbourne,North Melbourne,M.C.G.,N,11,4,70,10,7,67
8922,2024,15,2024-06-22 16:35:00,Saturday,Greater Western Sydney,Sydney,Sydney Showground,T,11,9,75,15,12,102
8921,2024,15,2024-06-22 13:45:00,Saturday,Port Adelaide,Brisbane Lions,Adelaide Oval,D,10,13,73,23,14,152
8920,2024,15,2024-06-21 19:40:00,Friday,Carlton,Geelong,M.C.G.,N,21,12,138,11,9,75
8919,2024,14,2024-06-16 16:00:00,Sunday,Greater Western Sydney,Port Adelaide,Sydney Showground,T,9,19,73,6,15,51
8918,2024,14,2024-06-16 13:00:00,Sunday,North Melbourne,Collingwood,Docklands,D,19,4,118,18,11,119
8917,2024,14,2024-06-15 19:30:00,Saturday,Adelaide,Sydney,Adelaide Oval,N,10,7,67,16,13,109
8916,2024,14,2024-06-15 16:35:00,Saturday,Richmond,Hawthorn,M.C.G.,T,6,13,49,14,13,97
8915,2024,14,2024-06-15 13:45:00,Saturday,Western Bulldogs,Fremantle,Docklands,D,23,11,149,12,10,82
8914,2024,14,2024-06-14 19:40:00,Friday,Brisbane Lions,St Kilda,Gabba,N,19,12,126,16,10,106
8913,2024,13,2024-06-10 15:20:00,Monday,Collingwood,Melbourne,M.C.G.,D,14,5,89,6,15,51
8912,2024,13,2024-06-09 19:20:00,Sunday,Essendon,Carlton,M.C.G.,N,9,16,70,15,6,96
8911,2024,13,2024-06-09 15:20:00,Sunday,Sydney,Geelong,S.C.G.,D,16,16,112,12,10,82
8910,2024,13,2024-06-08 19:30:00,Saturday,St Kilda,Gold Coast,Docklands,N,7,9,51,7,6,48
